City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Maumere,ID,79.92,broken clouds,-8.6199,122.2111,Sylvia Hotel
283,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
285,Sahuaripa,MX,76.89,broken clouds,29.05,-109.2333,Hotel El Molino
289,Port Blair,IN,79.45,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
294,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
306,Pozo Colorado,PY,86.85,few clouds,-23.4923,-58.7972,Hospedaje la Amistad
310,Sola,VU,82.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
313,Santiago,CL,81.0,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
317,Igbo Ora,NG,80.33,overcast clouds,7.4333,3.2833,Pinkbell Inn
319,Sumbe,AO,79.02,moderate rain,-11.2061,13.8437,Hotel Ritz Sumbe
321,Riohacha,CO,77.45,few clouds,11.5444,-72.9072,Hotel Taroa
325,Meulaboh,ID,75.65,light rain,4.1363,96.1285,Kost Pria
329,Balabac,PH,79.86,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
337,Puerto Quijarro,BO,82.18,broken clouds,-17.7833,-57.7667,Hotel palance
340,La Primavera,CO,87.94,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
344,Rajapur,IN,76.06,overcast clouds,25.3833,81.15,B.K. Computer & Janseva Kendra
348,Coruripe,BR,78.96,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
349,Kaduqli,SD,82.4,broken clouds,11.0167,29.7167,فندق الله جابو
352,Emerald,AU,81.0,scattered clouds,-23.5333,148.1667,The Irish Village
357,Mattru,SL,78.03,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
360,Carutapera,BR,76.68,broken clouds,-1.195,-46.02,Lidera
363,La Union,PE,84.27,scattered clouds,-5.4,-80.75,Los Portales
376,Vanimo,PG,81.28,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
386,Malabo,GQ,78.8,few clouds,3.75,8.7833,Hostal Residencia Morenita
392,Ifo,NG,84.2,light rain,6.8144,3.1958,Peace Land Hotel
397,Acajutla,SV,82.0,broken clouds,13.5928,-89.8275,asi es
405,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
406,Maceio,BR,77.0,few clouds,-9.6658,-35.7353,Poutur Pousada
410,Nicoya,CR,87.8,clear sky,10.1483,-85.452,Guayacan Real
414,Sabya,SA,77.0,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
415,Mango,US,80.6,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
419,Ballitoville,ZA,75.99,clear sky,-29.539,31.2144,Hotel Fairmont Zimbali Resort
421,Barranca De Upia,CO,86.94,broken clouds,4.5696,-72.9668,HOTEL GUAICARAMO
424,Tautira,PF,87.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
436,Bilma,NE,79.93,clear sky,18.6853,12.9164,Expeditions Ténére voyages
438,Tucurui,BR,75.87,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
441,Koungou,YT,77.0,clear sky,-12.7336,45.2042,Villa Netibor
443,Lazaro Cardenas,MX,83.28,clear sky,17.9583,-102.2,Hotel Quinta Antigua
456,Cowra,AU,80.01,few clouds,-33.8333,148.6833,Cowra Motor Inn
461,Oistins,BB,77.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
463,Bowen,AU,75.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
467,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
468,Hobyo,SO,77.25,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
471,Puerto Leguizamo,CO,78.22,scattered clouds,-0.1934,-74.7819,la casona de juancho
473,Bandarbeyla,SO,76.1,clear sky,9.4942,50.8122,JABIR HOTEL
475,Karratha,AU,84.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
478,Poum,NC,79.75,scattered clouds,-20.2333,164.0167,Gîte kajeon
482,Nelson Bay,AU,79.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
488,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
494,Bugasong,PH,78.24,light rain,11.0439,122.0659,Jam's Family Restaurant and Tourist Inn
499,Paka,MY,75.2,overcast clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
502,Mudon,MM,76.86,broken clouds,16.2578,97.7164,Motel Mudon
511,Biltine,TD,85.78,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
513,Kimbe,PG,85.03,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
514,Charters Towers,AU,78.22,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
518,Potiskum,NG,83.12,few clouds,11.7091,11.0694,Tamir Hotel Ltd
519,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,Reserva do Abiaí
521,Doha,QA,77.0,dust,25.2867,51.5333,Doha Marriott Hotel
523,Katherine,AU,82.4,broken clouds,-14.4667,132.2667,Pine Tree Motel
525,Idenao,CM,78.8,light rain,4.2475,9.0047,Moland Beach Resort
528,Namibe,AO,76.87,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
529,San Fernando,PH,77.0,broken clouds,15.0286,120.6898,Maharlika Hostel
531,Innisfail,AU,80.11,broken clouds,-17.5333,146.0333,Moondarra Motel
535,Prado,BR,75.58,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
545,Brumado,BR,75.47,clear sky,-14.2036,-41.6653,Hotel São Lázaro
549,Buluang,PH,76.35,moderate rain,13.3068,123.3425,Enon Beach Resort
550,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
554,Nargana,PA,79.57,scattered clouds,9.4428,-78.5906,Dubbir
556,Babahoyo,EC,84.2,moderate rain,-1.8167,-79.5167,CASA LOS VERGARA
565,Itarema,BR,79.25,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
573,Panalingaan,PH,78.39,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
575,Felipe Carrillo Puerto,MX,80.6,scattered clouds,19.5833,-88.05,Hotel La Ceiba
576,Maragogi,BR,78.85,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
577,Bundaberg,AU,78.8,scattered clouds,-24.85,152.35,Takalvan Motel
579,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
581,Isla Mujeres,MX,78.8,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
582,Benjamin Aceval,PY,80.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
584,Grand-Lahou,CI,80.02,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
587,Russell,US,77.0,clear sky,32.3502,-85.1999,Macs
590,General Elizardo Aquino,PY,80.56,clear sky,-24.4333,-56.7,Caacupeii Jhugua Rey
593,Buchanan,LR,77.0,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
602,Kismayo,SO,78.08,overcast clouds,-0.3582,42.5454,Agan-Hotel
610,Gainesville,US,77.0,clear sky,29.6516,-82.3248,Holiday Inn Gainesville-University Ctr
615,Puerto Narino,CO,80.6,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
626,Merauke,ID,80.13,light rain,-8.4667,140.3333,PC
629,Kiama,AU,78.01,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
634,Progreso,MX,84.2,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
638,Presidencia Roque Saenz Pena,AR,84.99,few clouds,-26.7852,-60.4388,Hotel Gualok
639,Nhulunbuy,AU,82.4,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
640,Port Moresby,PG,80.6,scattered clouds,-9.4431,147.1797,Lamana Hotel
644,Dingle,PH,76.05,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
647,Mount Isa,AU,87.8,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
648,Isangel,VU,80.6,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
655,Sokoto,NG,80.46,scattered clouds,13.0609,5.239,Shukura Coral Hotel
657,Coahuayana,MX,84.2,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
658,Touros,BR,80.6,clear sky,-5.1989,-35.4608,INN NEW HORIZON
664,Lufilufi,WS,89.6,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
666,Saint-Paul,RE,77.0,clear sky,-21.0096,55.2707,Boucan Canot
667,Monrovia,LR,77.0,few clouds,6.3005,-10.7969,Sunset Inn
673,Dalby,AU,77.0,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
678,Teahupoo,PF,87.8,light rain,-17.8333,-149.2667,Vanira Lodge
680,Bull Savanna,JM,76.37,few clouds,17.8868,-77.5902,Big Red's
681,Balsas,BR,76.24,broken clouds,-7.5325,-46.0356,Novo Hotel
